indeks;czas;czas_dzialania;temperatura
1;2020-11-28 11:43:14.319481;0.23;30.6359
2;2020-11-28 11:43:14.576811;0.46;30.7085
3;2020-11-28 11:43:14.828980;0.6900000000000001;30.7811
4;2020-11-28 11:43:15.081619;0.92;30.6904
5;2020-11-28 11:43:15.334293;1.1500000000000001;30.6722
6;2020-11-28 11:43:15.587222;1.3800000000000001;30.6359
7;2020-11-28 11:43:15.840125;1.61;30.5814
8;2020-11-28 11:43:16.093192;1.84;30.6904
9;2020-11-28 11:43:16.346026;2.0700000000000003;30.6904
10;2020-11-28 11:43:16.599416;2.3000000000000003;30.7630
11;2020-11-28 11:43:16.852365;2.5300000000000002;30.6722
12;2020-11-28 11:43:17.106266;2.7600000000000002;30.8174
13;2020-11-28 11:43:17.359287;2.99;30.6722
14;2020-11-28 11:43:17.611997;3.22;30.7085
15;2020-11-28 11:43:17.864872;3.45;30.6722
16;2020-11-28 11:43:18.117673;3.68;30.6177
17;2020-11-28 11:43:18.370716;3.91;30.8174
18;2020-11-28 11:43:18.623937;4.140000000000001;30.6904
19;2020-11-28 11:43:18.876876;4.37;30.8356
20;2020-11-28 11:43:19.129784;4.6000000000000005;30.7993
21;2020-11-28 11:43:19.382698;4.83;30.6722
22;2020-11-28 11:43:19.635649;5.0600000000000005;30.6540
23;2020-11-28 11:43:19.888621;5.29;30.7630
24;2020-11-28 11:43:20.141921;5.5200000000000005;30.6722
25;2020-11-28 11:43:20.394866;5.75;30.6540
26;2020-11-28 11:43:20.647814;5.98;30.7085
27;2020-11-28 11:43:20.900746;6.21;30.7811
28;2020-11-28 11:43:21.153693;6.44;30.6722
29;2020-11-28 11:43:21.406613;6.67;30.8174
30;2020-11-28 11:43:21.659552;6.9;30.6359
31;2020-11-28 11:43:21.912495;7.13;30.7811
32;2020-11-28 11:43:22.165438;7.36;30.6904
33;2020-11-28 11:43:22.418627;7.590000000000001;30.6540
34;2020-11-28 11:43:22.671636;7.82;30.6904
35;2020-11-28 11:43:22.923788;8.05;30.8537
36;2020-11-28 11:43:23.175824;8.280000000000001;30.8356
37;2020-11-28 11:43:23.428126;8.51;30.7085
38;2020-11-28 11:43:23.680717;8.74;30.6722
39;2020-11-28 11:43:23.932918;8.97;30.6904
40;2020-11-28 11:43:24.185086;9.200000000000001;30.6540
