ROW_ID,temp_cpu,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,reset,time_stamp
1,29.49,23.72,22.06,51.79,987.11,320.23,120.06,189.46,-4.301206,13.283948,-13.836792,0.002108,0.001687,-0.001913,0.001726,0.003581,-0.010003,1000,2016-03-09 15:46:20
2,29.58,23.76,22.3,51.73,995.33,311.74,69.58,243.71,-4.459493,13.417431,-14.230719,0.00207,0.001781,0.001288,-6e-05,0.000293,-0.000134,0,2016-03-09 15:46:30
3,29.59,23.85,22.36,51.75,995.31,312.16,66.95,245.77,-4.582074,13.611927,-14.116857,0.002118,0.001735,0.001289,-0.00022,1.6e-05,-8.7e-05,0,2016-03-09 15:46:40
4,29.68,23.89,22.41,51.67,995.32,313.35,68.74,242.95,-4.890883,13.691716,-13.868731,0.002046,0.00182,0.00025,-0.001054,-0.000439,0.000344,0,2016-03-09 15:46:51
5,29.81,23.95,22.46,51.6,995.32,315.4,67.35,243.53,-5.103175,13.847787,-13.647842,0.002062,0.001841,0.000163,-0.000228,-2.1e-05,0.000153,0,2016-03-09 15:47:00
6,29.84,23.99,22.51,51.58,995.32,315.82,68.0,242.68,-5.390502,14.164431,-13.791146,0.002019,0.001891,0.001274,-0.000478,-0.00034,0.000259,0,2016-03-09 15:47:10
7,29.84,24.05,22.55,51.4,995.32,315.12,68.25,241.44,-5.527458,14.151512,-13.602452,0.001978,0.001893,-0.001327,-0.000337,-0.000385,0.000495,0,2016-03-09 15:47:21
8,29.96,24.08,22.59,51.26,995.31,314.14,69.89,239.24,-5.751727,14.461047,-13.473895,0.002071,0.0019,0.000663,0.000534,0.000108,-4.9e-05,0,2016-03-09 15:47:30
9,29.96,24.14,22.64,51.29,995.32,314.79,69.88,238.98,-5.88432,14.292688,-13.329053,0.002098,0.001821,0.00093,9.5e-05,-0.000203,4.1e-05,0,2016-03-09 15:47:50
10,30.02,24.2,22.69,51.07,995.32,313.77,69.77,238.38,-6.180585,14.218602,-13.270352,0.00203,0.001893,0.001289,0.000876,-0.000136,-6e-06,0,2016-03-09 15:48:00
11,30.12,24.23,22.73,51.14,995.32,314.04,70.47,237.36,-6.497608,14.162945,-13.293936,0.002144,0.001912,-0.001333,0.000805,0.000271,-0.00021,0,2016-03-09 15:48:11
12,30.15,24.26,22.76,51.16,995.33,315.18,72.66,235.45,-6.650972,14.2702,-13.240799,0.002056,0.001922,0.000538,0.000826,0.000123,-0.000103,0,2016-03-09 15:48:20
13,30.17,24.29,22.79,51.09,995.33,315.96,70.63,236.74,-6.644627,14.719696,-13.221406,0.002111,0.001959,0.001835,0.000989,0.000295,0.000102,0,2016-03-09 15:48:30
14,30.24,24.33,22.82,51.01,995.31,315.21,70.79,236.08,-6.826007,14.768869,-13.176896,0.002043,0.001991,-0.000836,0.000998,0.000584,-0.000203,0,2016-03-09 15:48:41
15,30.26,24.35,22.85,50.85,995.32,315.39,71.47,234.43,-7.016874,14.713,-12.87138,0.002124,0.002052,-0.00099,0.000881,0.00022,5.3e-05,0,2016-03-09 15:48:50
16,30.27,24.38,22.88,51.08,995.31,315.87,72.92,233.49,-7.271591,14.575288,-13.098108,0.001999,0.001968,-0.000917,0.000922,-3.6e-05,3.1e-05,0,2016-03-09 15:49:01
17,30.31,24.39,22.91,50.88,995.29,316.49,72.6,233.57,-7.279552,14.861546,-13.24268,0.002048,0.00206,-0.001119,0.001033,-9e-06,9e-06,0,2016-03-09 15:49:11
18,30.32,24.45,22.93,51.0,995.3,316.43,72.28,233.44,-7.33201,14.798119,-12.889893,0.002075,0.001977,-0.001016,0.000737,-0.000139,-4.6e-05,0,2016-03-09 15:49:20
